"APPLICATION_ID","ACTIVITY","ADMINISTERING_IC","APPLICATION_TYPE","ARRA_FUNDED","AWARD_NOTICE_DATE","BUDGET_START","BUDGET_END","CFDA_CODE","CORE_PROJECT_NUM","ED_INST_TYPE","FOA_NUMBER","FULL_PROJECT_NUM","FUNDING_ICs","FUNDING_MECHANISM","FY","IC_NAME","NIH_SPENDING_CATS","ORG_CITY","ORG_COUNTRY","ORG_DEPT","ORG_DISTRICT","ORG_DUNS","ORG_FIPS","ORG_IPF_CODE","ORG_NAME","ORG_STATE","ORG_ZIPCODE","PHR","PI_IDS","PI_NAMEs","PROGRAM_OFFICER_NAME","PROJECT_START","PROJECT_END","PROJECT_TERMS","PROJECT_TITLE","SERIAL_NUMBER","STUDY_SECTION","STUDY_SECTION_NAME","SUBPROJECT_ID","SUFFIX","SUPPORT_YEAR","DIRECT_COST_AMT","INDIRECT_COST_AMT","TOTAL_COST","TOTAL_COST_SUB_PROJECT"
"10286324","R01","CA","7","N","03/23/2021","02/01/2021","01/31/2022","394","R01CA248398","","PA-18-590","7R01CA248398-02","NCI:598926\","Non-SBIR/STTR RPGs","2020","NATIONAL CANCER INSTITUTE","","NEWPORT BEACH","UNITED STATES","","48","825888311","US","205901","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","CA","926634162","Project Narrative Current methods of measuring disease burden in myeloma are suboptimal, which limits clinical care of patients with myeloma. Our recent phase I, first-in-human trial of CD38-targeted immunoPET with 89Zr-DFO- daratumumab successfully demonstrated sensitive imaging of myeloma beyond the abilities of current imaging modalities; this phase II trial would identify promising clinical applications of 89Zr-DFO-daratumumab immunoPET in patients with myeloma, including histologic proof of imaging findings. Successful imaging would be transformative for the detection of myeloma, monitoring response to therapy, and future design of novel radioimmunotherapies for patients with myeloma.","10270662; 10450224 (contact); ","LANDGREN, CARL OLA ; ULANER, GARY  (contact);","WANG, CHIAYENG","07/01/2020","01/31/2024","Antibodies; base; Biopsy; blind; Blood Tests; Bone marrow biopsy; burden of illness; cancer imaging; Cells; Clinical; clinical application; clinical care; Clinical Trials; clinically significant; Combined Modality Therapy; design; Detection; Detection of Minimal Residual Disease; Disease; dosimetry; early phase trial; experience; first-in-human; fluorodeoxyglucose positron emission tomography; Funding Opportunities; Future; Goals; Histologic; Human; human imaging; Image; imaging agent; imaging modality; Immunoglobulins; ImmunoPET; individual patient; innovation; Investigation; Laboratories; Measurement; Measures; Membrane Proteins; Memorial Sloan-Kettering Cancer Center; Methods; Monitor; Monoclonal Antibodies; Multiple Myeloma; multiple myeloma M Protein; novel; outcome forecast; Patient Care; Patient imaging; Patient Monitoring; Patients; PET/CT scan; Phase; Phase I Clinical Trials; phase I trial; Phase II Clinical Trials; phase II trial; Plasma Cell Neoplasm; Plasma Cells; Positron-Emission Tomography; preclinical imaging; predicting response; Prognostic Marker; Proteins; Radiochemistry; Radioimmunotherapy; Radiolabeled; Research Personnel; Residual Tumors; response; Safety; Selection for Treatments; Serum; Site; Surface; targeted imaging; theranostics; Therapeutic Agents; Tracer; Translations; treatment response; tumor; Tumor Burden; United States; uptake; virtual; Visualization; Work; ","CD38-TARGETED IMMUNOPET OF MYELOMA: PHASE 2 TRIAL OF CLINICAL APPLICATIONS","248398","IGIS","Imaging Guided Interventions and Surgery Study Section ","","","02","414999","183927","598926",""
"10258167","R21","AI","1","N","03/22/2021","03/22/2021","02/28/2022","855","R21AI157890","SCHOOLS OF MEDICINE","PA-20-195","1R21AI157890-01A1","NIAID:217898\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","NEW HAVEN","UNITED STATES","BIOCHEMISTRY","03","043207562","US","9420201","YALE UNIVERSITY","CT","065208327","Project Narrative:  HIV-1 has triggered one of the worst pandemics in history and the lack of a vaccine coupled with the looming threat of drug-resistance necessitates the search for novel drug targets. An indispensable yet poorly understood aspect of HIV biology is the selective packaging of host tRNALys3 during virion formation. This project will establish a mechanistic and structural basis for selective packaging of uncharged host tRNALys3 by HIV-1 and create a new avenue for development of novel antiretroviral drugs.","1883156; 9038659 (contact); ","MUSIER-FORSYTH, KARIN M; XIONG, YONG  (contact);","LAWRENCE, DIANE M","03/22/2021","02/28/2023","Acquired Immunodeficiency Syndrome; Address; Affinity; Amino Acyl-tRNA Synthetases; Aminoacylation; Anisotropy; Anti-Retroviral Agents; base; Binding; Biochemical; Biological Assay; Biology; biophysical techniques; C-terminal; Calorimetry; Capsid Proteins; Catalytic Domain; Cells; Charge; Chemicals; comparative; Complex; Coupled; crosslink; Cryoelectron Microscopy; Crystallization; Data; Dependence; design; Development; Dissection; drug development; Drug resistance; Electron Microscopy; Electrophoretic Mobility Shift Assay; EMSA; Enzymes; Event; experimental study; flexibility; Fluorescence; Fluorescence Anisotropy; Goals; HIV; HIV-1; Individual; Infection; insight; Kinetics; Knowledge; Life Cycle Stages; light scattering; Lysine-Specific tRNA; Lysine-tRNA Ligase; Measures; Modeling; Molecular; Molecular Sieve Chromatography; mutant; Negative Staining; new therapeutic target; Non-Small-Cell Lung Carcinoma; novel; pandemic disease; particle; Pharmaceutical Preparations; Phosphorylation; Play; pol Gene Products; Process; Public Health; Recording of previous events; recruit; Reporting; Research; resistance mutation; Resolution; Reverse Transcription; Role; screening; SP1 gene; Structure; success; Testing; therapeutic development; Titrations; Transcriptional Regulation; Transfer RNA; Vaccines; Validation; Viral Genome; Viral Reverse Transcription; Virion; Work; X-Ray Crystallography; ","Mechanism of selective packaging of primer tRNALys3 by HIV-1","157890","ZRG1","Special Emphasis Panel ","","A1","01","143648","74250","217898",""
"10122877","R37","AG","5","N","03/23/2021","03/01/2021","02/28/2022","866","R37AG053589","SCHOOLS OF MEDICINE","PA-16-160","5R37AG053589-05","NIA:307887\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE ON AGING","","TUCSON","UNITED STATES","PHARMACOLOGY","03","806345617","US","490201","UNIVERSITY OF ARIZONA","AZ","857210158","Public Health Statement Nationally and globally the aging population continues to grow. In the US and elsewhere, the predominant face of aging will be female as aged women will outnumber men by two to one. Understanding how estrogen, the predominant feminizing hormone, acts to promote and sustain the energy producing system of the brain is critical to revealing changes that occur in the aging female brain that can increase the risk of age-associated neurodegenerative diseases in postmenopausal women such as Alzheimer's, depression and multiple sclerosis.","1911611; ","BRINTON, ROBERTA EILEEN;","BARRETT, PAUL JOHN","03/15/2017","02/28/2022","Address; Age; age related; aged; Aging; aging brain; aging population; Alzheimer's Disease; Bioenergetics; Brain; cell growth regulation; Cell membrane; Cell Nucleus; cell type; Clinical; clinically significant; Data; design; disorder risk; Elements; Energy Metabolism; Estradiol; Estrogen Receptor alpha; estrogenic; Estrogens; Face; Feedback; Female; Feminization; functional outcomes; Gene Expression; Generations; Genetic Transcription; Genomics; Glucose; glucose metabolism; glucose transport; Goals; GPER gene; Hormones; IGF1 gene; insight; Insulin; Lead; men; Menopause; Mental Depression; Metabolic; mind control; Mitochondria; mitochondrial genome; Monitor; Multiple Sclerosis; nervous system disorder; Neurodegenerative Disorders; Neurologic; Neurons; Nuclear; Outcome; Oxidation-Reduction; Pathway interactions; Pattern; Performance; Post-Transcriptional Regulation; Postmenopause; Prevalence; Process; programs; Protein Isoforms; Public Health; Regulation; Regulatory Pathway; reproductive; Research; Respiration; response; Risk; Role; Series; Signal Transduction; System; Systems Biology; Testing; therapeutic target; Time; Transcriptional Regulation; Woman; Women's Health; ","Aging and Estrogenic Control of the Bioenergetic System in Brain","053589","ASG","Aging Systems and Geriatrics Study Section ","","","05","205000","102887","307887",""
"10370726","U19","AI","3","N","03/25/2021","03/01/2021","02/28/2022","","U19AI142733","","RFA-AI-17-040","3U19AI142733-03S1","NIAID:405600\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","BAR HARBOR","UNITED STATES","","02","042140483","US","7096501","JACKSON LABORATORY","ME","046091523","PROJECT NARRATIVE / RELEVANCE TO PUBLIC HEALTH STATEMENT OVERALL By mapping the interactions of lung immune cells and microbial factors that modulate lung antiviral immunity, the JAX CCHI will help elucidate basic immunological mechanisms operating in the intact lung as well as the innate immune networks that shape adaptive immune responses to respiratory viral infections. These discoveries could form the basis for next-generation therapeutics to treat lung diseases, an outcome of great public heath importance given that the range of infectious and other immune diseases that originate in, or secondarily impact, the lung.","6488561; ","PALUCKA, ANNA KAROLINA ;","JIANG, CHAO","04/08/2020","02/28/2023","3-Dimensional; 3D Print; adaptive immune response; adaptive immunity; Address; Adult; Antibodies; Antigen Presentation; Antigens; antiviral immunity; Antiviral Response; Area; B-Lymphocytes; Bacteria; base; Biological Assay; Biology; Biomedical Engineering; bioprinting; Cell model; cell type; Cells; Cellular biology; Childhood Asthma; Chromatin; Communication; Computational Biology; Computer Analysis; Dendritic Cells; Disease Outcome; Ensure; Environment; Environmental Risk Factor; Epigenetic Process; Epithelial; Epithelial Cells; Family; frontier; Genes; Genetic; Genetic Transcription; Genomic medicine; Genomics; Goals; high throughput screening; Human; human model; human tissue; Immune; immune function; Immune response; Immune System Diseases; Immunity; Immunologics; Immunology; Immunology procedure; immunoregulation; improved; improved outcome; Inflammation; Inflammatory; innovative technologies; insight; interest; Invaded; Knowledge; Leukocytes; Lung; Lung diseases; lung microbiome; Lymphocyte; Lymphoid Cell; Malignant neoplasm of lung; Methods; Microbe; microbial; microbiome; microbiota; Molecular; Mucosal Immunity; Mucous Membrane; multidisciplinary; Myeloid Cells; Natural Immunity; new technology; novel therapeutics; Organ; pathogen; Pathway interactions; Printing; Process; programs; Public Health; Research; Research Personnel; Research Project Grants; Respiratory physiology; respiratory virus; response; Sampling; sensor; Shapes; Signal Transduction; Specific qualifier value; Structure; Structure of parenchyma of lung; Surface; T cell response; T-Lymphocyte; Techniques; technology development; The Jackson Laboratory; Tissue Sample; Tissues; tool; transcriptome; Viral Antigens; Viral Respiratory Tract Infection; virology; Virus; Virus Diseases; ","Modulation of Viral Antigen Presentation in the Lung","142733","ZAI1","Special Emphasis Panel ","6849","S1","03","347634","57966","","405600"
"10116313","P30","CA","5","N","03/26/2021","03/01/2021","02/28/2022","","P30CA021765","","PAR-17-095","5P30CA021765-42","NCI:310334\","RESEARCH CENTERS","2021","NATIONAL CANCER INSTITUTE","","MEMPHIS","UNITED STATES","","09","067717892","US","7893501","ST. JUDE CHILDREN'S RESEARCH HOSPITAL","TN","381053678","","11658991; ","BERNS, HARTMUT ;","","04/01/1997","02/29/2024","adaptive immune response; Alleles; Animals; anticancer research; base; blastocyst; Cancer Center; Cancer Center Support Grant; cell growth; Cell Separation; Cells; Childhood Cancer Genome Project; Chimera organism; Clinical Trials; Clustered Regularly Interspaced Short Palindromic Repeats; Collaborations; Comprehensive Cancer Center; Consult; Consultations; cost effectiveness; CRISPR/Cas technology; Cytoplasm; design; Differentiation and Growth; DNA; DNA Sequence Alteration; Doctor of Philosophy; driver mutation; Education; Embryo; embryonic stem cell; endonuclease; Engineering; Ensure; experience; Flow Cytometry; Fluorochrome; Focus Groups; FRAP1 gene; Funding; Future; gene function; Gene Mutation; Gene Targeting; Gene-Modified; Generations; Genes; Genetic; genetic approach; Genetic Engineering; Genetically Engineered Mouse; Genome engineering; Goals; Guide RNA; Immunotherapy; in vivo; Individual; Injections; insight; Journals; Knock-in; Knock-out; knockout gene; Knockout Mice; Laboratories; Malignant Childhood Neoplasm; Malignant Neoplasms; member; Microinjections; Modeling; Modification; mouse model; multidisciplinary; Mus; mutant; Mutation; Nature; Neoplasm Metastasis; Normal tissue morphology; Operative Surgical Procedures; Pathway interactions; Peer Review Grants; Phenotype; Pilot Projects; Point Mutation; Production; programs; Protocols documentation; Publications; Reaction; Reagent; reagent testing; repaired; Research; Research Personnel; Resource Sharing; Route; Saint Jude Children's Research Hospital; Science; sensor; Services; Standardization; stem cells; success; Technology; Time; Tissue Sample; Tissues; tool; transcription activator-like effector nucleases; Transfection; Transgenic Mice; Transgenic Organisms; Translations; tumor immunology; tumor microenvironment; Tumor Suppressor Genes; Tumor Suppressor Proteins; Tumor Tissue; Universities; Variant; Washington; zygote; ","Transgenic Gene Knockout Shared Resources Core","021765","NCI","Subcommittee J - Population and Patient-Oriented Training ","5526","","42","177141","140828","","310334"
"10286353","U01","CA","3","N","03/24/2021","03/24/2021","08/31/2021","353","U01CA232758","","PA-20-272","3U01CA232758-03S1","NCI:250000\","Non-SBIR/STTR RPGs","2021","NATIONAL CANCER INSTITUTE","","TAMPA","UNITED STATES","","14","139301956","US","3736101","H. LEE MOFFITT CANCER CTR & RES INST","FL","336129497","PROJECT NARRATIVE  Despite its devastating prognosis, ovarian cancer is an immunogenic disease where the presence of organized lymphoid structures containing complex immune cell populations is associated with better outcome.  The proposed studies will exert a profound effect in the field by elucidating the mechanisms leading to the spontaneous formation of these structures in ovarian cancer. This mechanistic understanding could lead to optimized interventions aimed to promote their assembly as a novel immunotherapy, thus providing a significant advance towards the goal of personalized Medicine and the cure of this devastating disease.  Equally important, our studies could lead to the identification of antibodies spontaneously produced at tumor beds with significant anti-tumor (or, conversely, tumor- promoting) activity, which could be used as novel therapeutic tools or targets","8439405; ","CONEJO-GARCIA, JOSE R;","KUO, LILLIAN S","09/20/2018","08/31/2023","Ablation; Adaptive Immune System; Address; Antibodies; Antibody Response; Antibody Therapy; Antigen Targeting; Antigen-Antibody Complex; Antigens; AT Rich Sequence; Autoantibodies; Autologous; Automobile Driving; Award; B lymphocyte immortalization; B-Lymphocytes; Bar Codes; Beds; Binding Proteins; Biological; Biological Assay; biophysical techniques; cancer cell; cancer immunotherapy; Cancer Patient; CD4 Positive T Lymphocytes; CD8-Positive T-Lymphocytes; Cells; Cellular Immunity; chimeric antigen receptor; chimeric antigen receptor T cells; Clear Cell; Clinical Trials; Clone Cells; Collaborations; CXCL13 gene; Cytometry; cytotoxicity; Data; Disease; draining lymph node; Effectiveness; Endometrioid Tumor; Endometriomas; Enzyme-Linked Immunosorbent Assay; Epigenetic Process; Experimental Animal Model; extracellular; Extracellular Protein; Female Genital Neoplasms; Flow Cytometry; FOXP3 gene; Generations; Genomics; Goals; Grant; Human; Humoral Immunities; Immune; immunogenic; Immunoglobulin A; Immunoglobulin G; immunoregulation; Immunotherapeutic agent; Immunotherapy; In Vitro; in vivo; Individual; insight; Intervention; Knockout Mice; Laboratories; Lead; Libraries; lymph nodes; lymphoid structures; macrophage; Magnetism; Maintenance; Malignant neoplasm of ovary; Malignant Neoplasms; Mediating; melanoma; Methods; Monitor; Monoclonal Antibodies; mouse model; Mus; Natural Killer Cells; Nature; Neoplasm Metastasis; new therapeutic target; next generation sequencing; novel; novel therapeutics; Outcome; outcome forecast; Ovarian Carcinoma; Ovarian Endometrioid Adenocarcinoma; parent grant; Parents; Pathway interactions; Patients; personalized medicine; Phagocytosis; Plasmids; Population; preclinical efficacy; predicting response; programmed cell death protein 1; programs; Protein Array; Proteins; Reaction; receptor; Receptors, Antigen, B-Cell; Recombinant Antibody; Recombinants; Regulatory T-Lymphocyte; Repression; Resources; response; Role; Sampling; Serous; Signal Transduction; Solid Neoplasm; Specificity; Structure; Structure of germinal center of lymph node; Surface Plasmon Resonance; Suspensions; T cell response; T-Lymphocyte; Technology; tool; Transforming Growth Factor alpha; Transforming Growth Factor beta; Transgenic Model; translational study; tumor; Tumor Antibodies; Tumor Antigens; tumor growth; Tumor Immunity; tumor microenvironment; Up-Regulation; Vaccination; Work; Xenograft procedure; Yeasts; ","Rapid Exoproteome Antigen Profiling of antibodies produced in the ovarian cancer microenvironment","232758","","","","S1","03","200895","49105","250000",""
"10116326","P30","CA","5","N","03/26/2021","03/01/2021","02/28/2022","","P30CA021765","","PAR-17-095","5P30CA021765-42","NCI:153400\","RESEARCH CENTERS","2021","NATIONAL CANCER INSTITUTE","","MEMPHIS","UNITED STATES","","09","067717892","US","7893501","ST. JUDE CHILDREN'S RESEARCH HOSPITAL","TN","381053678","","10392394; ","RODRIGUEZ-GALINDO, CARLOS ;","","04/01/1997","02/29/2024","Achievement; Address; Advisory Committees; Advocacy; Advocate; Affect; African American; aged; Area; base; Biological; Biology; biomedical referral center; Burkitt Lymphoma; Cancer Center Support Grant; cancer education; Cancer Survivor; care outcomes; Caring; Catchment Area; Censuses; Characteristics; Child; Childhood; childhood cancer survivor; Clinic Visits; clinical care; clinical practice; Clinical Research; Clinical Trials; Collaborations; Communities; Community Outreach; Data; Developed Countries; Developing Countries; Diagnosis; Education; Ensure; ethnic minority population; Ethnic Origin; Family; Financial Support; Foundations; Funding; Genomics; Geographic Locations; global health; Goals; Guidelines; Health; Health behavior; health difference; Health education; Health Services Accessibility; Heart; Hispanics; Housing; Human Papilloma Virus Vaccination; Human Papilloma Virus Vaccine; Human Resources; improved; Incidence; Infrastructure; innovation; International; Knowledge; Leadership; Low income; Malignant Childhood Neoplasm; medically underserved; member; Mentors; Mission; NCI-Designated Cancer Center; Not Hispanic or Latino; Outcome; outreach; Parents; patient population; Patients; Pediatric Oncology; pediatric patients; Persons; Police; Policies; Policy Making; Population; Population Heterogeneity; Positioning Attribute; programs; Race; racial and ethnic; racial minority; Radial; Religion; Research; Research Personnel; Resources; Saint Jude Children's Research Hospital; Schools; Science; Site; Strategic Planning; Survivors; survivorship; teacher; Technology; tool; Training and Education; Translational Research; Transportation; Treatment Cost; treatment disparity; United States; Update; uptake; Variant; web site; World Health Organization; ","Community Outreach and Engagement","021765","NCI","Subcommittee I - Transistion to Independence ","5532","","42","87562","69611","","153400"
"10100597","R01","AI","1","N","03/23/2021","03/23/2021","02/28/2022","855","R01AI155979","SCHOOLS OF MEDICINE","PA-19-056","1R01AI155979-01","NIAID:405000\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","SYRACUSE","UNITED STATES","MICROBIOLOGY/IMMUN/VIROLOGY","24","058889106","US","5992619","UPSTATE MEDICAL UNIVERSITY","NY","132102306","Human cytomegalovirus (HCMV) causes significant disease in individuals with weakened immune systems. How HCMV can replicate so efficiently in the face of host induced strong antiviral responses is not fully known. In this proposed work we will extend our exciting findings where we have identified specific host directed modification of viral proteins that result in altered antiviral responses. Characterization of the biological mechanisms controlled by these host modifications will provide insight on inhibiting HCMV and potentially other viruses in general.","1949856; ","MURPHY, EAIN A;","BEISEL, CHRISTOPHER E","03/23/2021","02/28/2026","Antiviral Agents; Antiviral Response; arm; Biological; Biological Process; Biotin; Cells; Cysteine; cytokine; Cytokine Gene; Cytomegalovirus; Cytomegalovirus Infections; Data; design; Disease; DNA; DNA Viruses; Equilibrium; Foundations; Genetic Transcription; Goals; Growth; Hematopoietic stem cells; Herpesviridae; Host Defense; Human; Immune response; Immune system; Immunocompetent; Individual; Infection; Innate Immune Response; insight; Integration Host Factors; Interferon Type I; Intervention; IRF3 gene; knowledge base; Laboratories; latent infection; Lytic; Lytic Phase; lytic replication; macrophage; Mediating; Methodology; Modification; Morbidity - disease rate; mortality; Mutate; Mutation; new therapeutic target; Nitric Oxide; novel; Outcome; pathogen; Pathogenesis; Pathway interactions; Play; Population; Post-Translational Protein Processing; Production; protein function; Protein S; Proteins; Proteomics; Regulation; Repression; Research; response; Role; Serine; SKIL gene; Stimulator of Interferon Genes; Structure; Sulfhydryl Compounds; Symptoms; Testing; Therapeutic Intervention; Transcriptional Activation; Vaccines; Viral; Viral Proteins; virology; Virus; Virus Diseases; Virus Replication; Work; ","Antiviral responses of host mediated S-nitrosylation of viral proteins.","155979","VIRA","Virology - A Study Section ","","","01","250000","155000","405000",""
"10133526","R01","CA","5","N","03/26/2021","03/01/2021","02/28/2023","393","R01CA208257","SCHOOLS OF MEDICINE","PA-16-160","5R01CA208257-06","NCI:227779\","Non-SBIR/STTR RPGs","2021","NATIONAL CANCER INSTITUTE","","CHICAGO","UNITED STATES","UROLOGY","07","005436803","US","6144650","NORTHWESTERN UNIVERSITY AT CHICAGO","IL","606114579","PROJECT NARRATIVE  Breast cancer is the leading cause of cancer-related deaths in American women, and one subtype, triple negative breast cancer (TNBC) is the most difficult to treat. In this project, we will investigate the novel role for the gene silencer, Polycomb Repressive Complex 2 (PCR2), in DNA-damage repair. Successful completion of this project will provide novel mechanistic insights into the crosstalk between PRC2 and PARP, a DNA-damage repair protein, in TNBC, as well as the rationale to develop combinational targeted therapies for the treatment of advanced breast cancers.","9460288; ","CAO, QI ;","FINGERMAN, IAN M","03/15/2017","02/28/2023","advanced breast cancer; Advanced Malignant Neoplasm; Affect; American; Attention; Biological Assay; BMI1 gene; BRCA1 gene; BRCA2 gene; Breast Cancer Cell; Breast Cancer Patient; breast cancer progression; Breast Carcinoma; Breast Epithelial Cells; cancer biomarkers; Cancer Etiology; cancer initiation; cancer type; cDNA Arrays; Cell Line; Cell Maintenance; Cells; Cessation of life; ChIP-seq; Chromosomal Instability; Clinical; Clinical Trials; Complex; Core Protein; Data; Data Set; Defect; Development; Diagnosis; DNA Damage; DNA Repair; DNA Repair Enzymes; DNA Repair Gene; DNA Repair Pathway; Drug Combinations; Environmental Risk Factor; Epigenetic Process; EZH2 gene; Feedback; GATA4 gene; Gene Expression; gene repression; Genes; genomic locus; Growth; Histone H3; Histones; Impairment; In Vitro; inhibitor/antagonist; insight; Invaded; knock-down; Lead; loss of function; Lysine; malignant breast neoplasm; Malignant neoplasm of lung; Malignant neoplasm of ovary; Malignant Neoplasms; Mass Spectrum Analysis; Mediating; member; Metastatic breast cancer; Methylation; Microarray Analysis; Modification; Molecular; Morbidity - disease rate; mortality; mutant; Neoplasm Metastasis; non-histone protein; novel; novel therapeutics; Oncogenic; Oncoproteins; Organ; Outcome; overexpression; Pathway interactions; Patients; Play; Poly(ADP-ribose) Polymerases; Polycomb; Post-Translational Protein Processing; preclinical study; prognostic value; protein H(3); Proteins; recruit; Regimen; Regulation; Reporting; response; Role; Site; STAT3 gene; stem cells; systemic toxicity; targeted treatment; Therapeutic; therapeutic target; Tissue Microarray; Transcript; triple-negative invasive breast carcinoma; tumor growth; tumor progression; Tumor-Derived; Woman; Xenograft Model; ","The inhibitory network between EZH2 and PARP1 in triple-negative breast cancer","208257","ZRG1","Special Emphasis Panel ","","","06","144164","83615","227779",""
"10106800","R21","AI","1","N","03/25/2021","03/25/2021","02/28/2022","855","R21AI156101","SCHOOLS OF MEDICINE","PA-19-053","1R21AI156101-01","NIAID:199611\","Non-SBIR/STTR RPGs","2021","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","LITTLE ROCK","UNITED STATES","MICROBIOLOGY/IMMUN/VIROLOGY","02","122452563","US","1471106","UNIV OF ARKANSAS FOR MED SCIS","AR","722057101","PROJECT NARRATIVE  The vector-borne spirochetes that cause relapsing fever are transmitted to humans by either ticks or human body lice, and although the etiological agents of relapsing fever were identified over 100 years ago, very little information exists regarding the pathogenic strategies employed by these bacteria. We will gain critical knowledge regarding the regulatory networks that control adaptation of tickborne relapsing fever spirochetes during transmission and infection and identify potential virulence determinants required by the bacteria for host- pathogen and vector-pathogen interactions. Regulators and virulence factors identified in this project represent potential targets against which future therapeutic interventions and/or diagnostics for tickborne relapsing fever could be developed.","7690758; ","BLEVINS, JON SCOTT;","ILIAS, MALIHA R","03/25/2021","02/28/2023","Address; Antimicrobial Resistance; Applications Grants; Area; Argasidae; Arthropod Vectors; Arthropods; Bacteria; bacterial metabolism; Biology; Borrelia; Borrelia burgdorferi; Borrelia turicatae; cDNA Library; cell motility; Cell physiology; Chemotaxis; Defect; defined contribution; Developing Countries; Diagnostic; Digestion; dimer; Dinucleoside Phosphates; Environment; environmental adaptation; enzootic; Etiology; Future; Gel; Gel Chromatography; Gene Expression; Gene Proteins; Global Change; Guanosine Monophosphate; Heavy Metals; High-Throughput Nucleotide Sequencing; Human; Human body; Individual; Infection; insight; Ixodes; Knowledge; Lead; Liquid Chromatography; Lyme Disease; Measures; Mediating; Microbial Biofilms; Modeling; Molecular; Mus; mutant; neglect; Order Spirochaetales; Ornithodoros; pathogen; Pathogenesis; Pathogenicity; Pattern; Pediculus humanus humanus; Periodicity; Phenotype; Photosynthesis; Play; Process; Production; protein expression; Proteome; Regulation; Regulon; Relapsing Fever; relapsing fever borrelia; Role; Second Messenger Systems; Signal Pathway; Signal Transduction; small molecule; Spirochaetales Infections; System; tandem mass spectrometry; Testing; Therapeutic Intervention; Tick-Borne Relapsing Fever; Ticks; transcriptome; transcriptome sequencing; transmission process; vector; vector-borne; Virulence; Virulence Factors; Virulent; Work; ","Cyclic di-GMP Second Messenger Signaling in the Tickborne Relapsing Fever Spirochete, Borrelia turicatae","156101","ZRG1","Special Emphasis Panel ","","","01","140482","59129","199611",""
